Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
GAS,0.974 ± 0.023,0.978 ± 0.012,0.96 ± 0.02,0.935 ± 0.02,0.96 ± 0.023,0.928 ± 0.025,0.938 ± 0.035,0.924 ± 0.036,0.892 ± 0.028,0.907 ± 0.024,0.781 ± 0.047,0.7 ± 0.09,0.898 ± 0.029,0.765 ± 0.027,0.655 ± 0.061,0.89 ± 0.033,0.948 ± 0.037,0.473 ± 0.072,0.605 ± 0.081,0.847 ± 0.047,0.517 ± 0.036,0.204 ± 0.062,0.853 ± 0.036,0.951 ± 0.011,0.947 ± 0.011,0.947 ± 0.014
LAS,0.955 ± 0.031,0.962 ± 0.014,0.833 ± 0.092,0.754 ± 0.076,0.866 ± 0.078,0.835 ± 0.069,0.843 ± 0.052,0.737 ± 0.086,0.913 ± 0.013,0.931 ± 0.042,0.813 ± 0.036,0.762 ± 0.034,0.81 ± 0.043,0.664 ± 0.053,0.686 ± 0.03,0.845 ± 0.043,0.871 ± 0.043,0.472 ± 0.079,0.535 ± 0.095,0.724 ± 0.05,0.48 ± 0.069,0.259 ± 0.034,0.628 ± 0.047,0.904 ± 0.054,0.911 ± 0.053,0.928 ± 0.041
NAS-D,1.0 ± 0.0,1.0 ± 0.0,0.973 ± 0.031,0.955 ± 0.024,0.961 ± 0.032,0.95 ± 0.034,0.984 ± 0.016,0.961 ± 0.037,1.0 ± 0.0,0.809 ± 0.051,0.854 ± 0.021,0.81 ± 0.022,0.813 ± 0.028,0.709 ± 0.048,1.0 ± 0.001,1.0 ± 0.0,0.998 ± 0.005,0.98 ± 0.035,0.98 ± 0.021,0.998 ± 0.004,0.969 ± 0.026,0.524 ± 0.063,0.893 ± 0.044,0.329 ± 0.01,0.522 ± 0.051,0.351 ± 0.029
NAS-L,1.0 ± 0.0,1.0 ± 0.0,0.934 ± 0.071,0.877 ± 0.105,0.916 ± 0.098,0.885 ± 0.113,0.963 ± 0.051,0.905 ± 0.109,1.0 ± 0.0,0.772 ± 0.08,0.742 ± 0.032,0.67 ± 0.033,0.628 ± 0.028,0.417 ± 0.037,0.992 ± 0.025,1.0 ± 0.0,0.996 ± 0.01,0.883 ± 0.206,0.916 ± 0.092,0.98 ± 0.031,0.877 ± 0.123,0.155 ± 0.047,0.785 ± 0.113,0.0 ± 0.0,0.078 ± 0.049,0.933 ± 0.052
NAS,1.0 ± 0.0,1.0 ± 0.0,0.948 ± 0.056,0.9 ± 0.078,0.932 ± 0.07,0.909 ± 0.079,0.971 ± 0.035,0.918 ± 0.087,1.0 ± 0.0,0.771 ± 0.036,0.78 ± 0.021,0.714 ± 0.021,0.678 ± 0.027,0.312 ± 0.079,0.996 ± 0.013,1.0 ± 0.0,0.997 ± 0.007,0.915 ± 0.162,0.944 ± 0.066,0.989 ± 0.018,0.918 ± 0.082,0.182 ± 0.055,0.794 ± 0.097,0.0 ± 0.0,0.069 ± 0.068,0.475 ± 0.027
"NAS
+LAS(S)",1.0 ± 0.0,1.0 ± 0.0,0.929 ± 0.083,0.861 ± 0.112,0.914 ± 0.092,0.882 ± 0.108,0.964 ± 0.045,0.877 ± 0.139,1.0 ± 0.0,0.753 ± 0.04,0.729 ± 0.036,0.624 ± 0.042,0.6 ± 0.053,0.052 ± 0.068,0.993 ± 0.021,1.0 ± 0.0,0.997 ± 0.008,0.835 ± 0.294,0.882 ± 0.147,0.983 ± 0.027,0.819 ± 0.17,0.0 ± 0.0,0.664 ± 0.173,0.0 ± 0.0,0.01 ± 0.021,0.434 ± 0.025
"GAS
+LAS(S)",0.972 ± 0.026,0.977 ± 0.013,0.949 ± 0.03,0.911 ± 0.031,0.952 ± 0.032,0.911 ± 0.036,0.924 ± 0.047,0.891 ± 0.06,0.881 ± 0.032,0.899 ± 0.03,0.73 ± 0.061,0.607 ± 0.113,0.872 ± 0.043,0.642 ± 0.065,0.496 ± 0.096,0.869 ± 0.042,0.939 ± 0.045,0.06 ± 0.139,0.242 ± 0.235,0.785 ± 0.074,0.069 ± 0.105,0.0 ± 0.0,0.762 ± 0.072,0.945 ± 0.015,0.941 ± 0.014,0.942 ± 0.017
"GAS
+NAS-L(S)",0.974 ± 0.023,0.978 ± 0.012,0.922 ± 0.07,0.85 ± 0.095,0.898 ± 0.097,0.855 ± 0.108,0.927 ± 0.053,0.867 ± 0.105,0.892 ± 0.028,0.749 ± 0.084,0.661 ± 0.045,0.504 ± 0.109,0.584 ± 0.044,0.238 ± 0.059,0.652 ± 0.062,0.89 ± 0.033,0.946 ± 0.035,0.398 ± 0.159,0.559 ± 0.133,0.843 ± 0.052,0.436 ± 0.105,0.0 ± 0.0,0.733 ± 0.126,0.0 ± 0.0,0.034 ± 0.042,0.915 ± 0.047
"GAS
+NAS-D(S)",0.974 ± 0.023,0.978 ± 0.012,0.954 ± 0.026,0.928 ± 0.019,0.947 ± 0.03,0.918 ± 0.027,0.936 ± 0.037,0.918 ± 0.041,0.892 ± 0.028,0.788 ± 0.059,0.742 ± 0.061,0.628 ± 0.117,0.791 ± 0.033,0.618 ± 0.07,0.655 ± 0.061,0.89 ± 0.033,0.947 ± 0.036,0.461 ± 0.078,0.596 ± 0.088,0.847 ± 0.047,0.501 ± 0.044,0.0 ± 0.0,0.831 ± 0.046,0.294 ± 0.012,0.495 ± 0.055,0.314 ± 0.028
"GAS
+NAS(S)",0.974 ± 0.023,0.978 ± 0.012,0.934 ± 0.053,0.877 ± 0.069,0.918 ± 0.067,0.881 ± 0.072,0.935 ± 0.039,0.882 ± 0.084,0.892 ± 0.028,0.747 ± 0.037,0.698 ± 0.051,0.558 ± 0.11,0.64 ± 0.042,0.112 ± 0.106,0.654 ± 0.061,0.89 ± 0.033,0.947 ± 0.035,0.411 ± 0.157,0.576 ± 0.111,0.845 ± 0.049,0.468 ± 0.07,0.0 ± 0.0,0.746 ± 0.108,0.0 ± 0.0,0.036 ± 0.053,0.446 ± 0.028
