metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
GAS,0.989,0.984,0.963,0.927,0.927,0.894,0.89,0.888,0.837,0.889,0.721,0.653,0.847,0.735,0.612,0.87,0.971,0.478,0.666,0.852,0.484,0.303,0.775,0.941,0.944,0.932
LAS,0.964,0.972,0.873,0.722,0.79,0.782,0.792,0.674,0.902,0.889,0.791,0.747,0.714,0.626,0.711,0.838,0.93,0.423,0.684,0.753,0.454,0.303,0.56,0.843,0.834,0.883
NAS-D,1.0,1.0,1.0,0.939,0.906,0.901,0.948,0.872,1.0,0.806,0.809,0.764,0.778,0.709,1.0,1.0,1.0,0.96,1.0,1.0,0.983,0.409,0.84,0.335,0.508,0.354
NAS-L,1.0,1.0,1.0,0.878,0.864,0.861,0.953,0.861,1.0,0.847,0.778,0.73,0.582,0.414,1.0,1.0,1.0,0.844,1.0,1.0,0.947,0.219,0.849,0.0,0.185,0.97
NAS,1.0,1.0,1.0,0.897,0.878,0.873,0.947,0.851,1.0,0.816,0.782,0.723,0.626,0.302,1.0,1.0,1.0,0.898,1.0,1.0,0.965,0.241,0.803,0.0,0.217,0.476
"NAS
+LAS(S)",1.0,1.0,1.0,0.857,0.845,0.838,0.933,0.779,1.0,0.793,0.724,0.629,0.476,0.0,1.0,1.0,1.0,0.76,1.0,1.0,0.922,0.0,0.648,0.0,0.062,0.407
"GAS
+LAS(S)",0.989,0.984,0.958,0.899,0.908,0.865,0.861,0.835,0.82,0.875,0.648,0.535,0.786,0.577,0.454,0.845,0.969,0.0,0.511,0.804,0.0,0.0,0.598,0.93,0.933,0.923
"GAS
+NAS-L(S)",0.989,0.984,0.963,0.869,0.853,0.844,0.885,0.844,0.837,0.828,0.642,0.525,0.507,0.203,0.612,0.87,0.971,0.382,0.666,0.852,0.455,0.0,0.735,0.0,0.137,0.929
"GAS
+NAS-D(S)",0.989,0.984,0.963,0.922,0.899,0.883,0.884,0.856,0.837,0.782,0.655,0.546,0.738,0.605,0.612,0.87,0.971,0.457,0.666,0.852,0.475,0.0,0.732,0.293,0.479,0.306
"GAS
+NAS(S)",0.989,0.984,0.963,0.889,0.868,0.858,0.884,0.832,0.837,0.793,0.643,0.52,0.559,0.051,0.612,0.87,0.971,0.419,0.666,0.852,0.465,0.0,0.72,0.0,0.171,0.438
"GAS
+LAS(S)
+NAS-D(S)",0.989,0.984,0.958,0.892,0.897,0.85,0.854,0.81,0.82,0.778,0.565,0.392,0.717,0.404,0.454,0.845,0.969,0.0,0.511,0.804,0.0,0.0,0.522,0.285,0.473,0.299
"GAS
+LAS(S)
+NAS-L(S)",0.989,0.984,0.958,0.864,0.85,0.839,0.854,0.808,0.82,0.825,0.547,0.364,0.468,0.0,0.454,0.845,0.969,0.0,0.511,0.804,0.0,0.0,0.527,0.0,0.127,0.92
"GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)",0.989,0.984,0.958,0.885,0.865,0.846,0.854,0.806,0.82,0.79,0.55,0.357,0.525,0.0,0.454,0.845,0.969,0.0,0.511,0.804,0.0,0.0,0.5,0.0,0.161,0.433
