metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
GAS,0.989,0.991,0.987,0.912,0.966,0.947,0.967,0.94,0.895,0.878,0.81,0.766,0.898,0.759,0.598,0.962,0.953,0.642,0.609,0.941,0.561,0.221,0.896,0.944,0.946,0.949
LAS,0.961,0.959,0.973,0.749,0.786,0.781,0.878,0.788,0.926,0.851,0.761,0.71,0.794,0.635,0.636,0.917,0.864,0.659,0.585,0.823,0.593,0.27,0.733,0.81,0.816,0.86
NAS-D,1.0,1.0,1.0,0.963,0.927,0.922,0.99,0.988,1.0,0.748,0.873,0.827,0.852,0.63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.59,0.896,0.349,0.453,0.405
NAS-L,1.0,1.0,1.0,0.961,0.818,0.813,1.0,0.908,1.0,0.806,0.742,0.66,0.644,0.431,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.171,0.885,0.0,0.136,0.863
NAS,1.0,1.0,1.0,0.957,0.859,0.854,0.994,0.939,1.0,0.748,0.777,0.707,0.695,0.219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.219,0.875,0.0,0.143,0.506
"NAS
+LAS(S)",1.0,1.0,1.0,0.942,0.821,0.813,0.994,0.922,1.0,0.703,0.707,0.587,0.616,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.829,0.0,0.0,0.426
"GAS
+LAS(S)",0.989,0.991,0.986,0.883,0.957,0.932,0.962,0.924,0.886,0.857,0.75,0.67,0.872,0.621,0.368,0.958,0.946,0.457,0.331,0.929,0.259,0.0,0.858,0.93,0.934,0.941
"GAS
+NAS-L(S)",0.989,0.991,0.987,0.909,0.811,0.802,0.967,0.902,0.895,0.779,0.682,0.556,0.603,0.251,0.598,0.962,0.953,0.642,0.609,0.941,0.561,0.0,0.871,0.0,0.086,0.856
"GAS
+NAS-D(S)",0.989,0.991,0.987,0.909,0.924,0.918,0.967,0.939,0.895,0.713,0.782,0.717,0.835,0.513,0.598,0.962,0.953,0.642,0.609,0.941,0.561,0.0,0.884,0.31,0.422,0.373
"GAS
+NAS(S)",0.989,0.991,0.987,0.908,0.855,0.846,0.967,0.935,0.895,0.713,0.725,0.617,0.66,0.0,0.598,0.962,0.953,0.642,0.609,0.941,0.561,0.0,0.86,0.0,0.094,0.48
"GAS
+LAS(S)
+NAS-D(S)",0.989,0.991,0.986,0.878,0.924,0.916,0.962,0.923,0.886,0.706,0.714,0.601,0.83,0.399,0.368,0.958,0.946,0.457,0.331,0.929,0.259,0.0,0.841,0.3,0.415,0.367
"GAS
+LAS(S)
+NAS-L(S)",0.989,0.991,0.986,0.878,0.809,0.799,0.962,0.901,0.886,0.773,0.657,0.492,0.591,0.084,0.368,0.958,0.946,0.457,0.331,0.929,0.259,0.0,0.839,0.0,0.074,0.855
"GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)",0.989,0.991,0.986,0.878,0.853,0.843,0.962,0.919,0.886,0.705,0.678,0.533,0.65,0.0,0.368,0.958,0.946,0.457,0.331,0.929,0.259,0.0,0.838,0.0,0.082,0.475
