metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
GAS,0.994,0.967,0.975,0.938,0.99,0.976,0.979,0.897,0.909,0.93,0.827,0.783,0.89,0.799,0.568,0.905,0.898,0.404,0.58,0.787,0.507,0.172,0.843,0.964,0.955,0.966
LAS,0.979,0.958,0.885,0.722,0.973,0.938,0.904,0.753,0.912,0.979,0.857,0.807,0.871,0.767,0.666,0.877,0.836,0.496,0.578,0.688,0.479,0.274,0.647,0.972,0.969,0.979
NAS-D,1.0,1.0,0.999,0.927,1.0,0.975,1.0,0.975,1.0,0.761,0.87,0.811,0.801,0.775,1.0,1.0,0.999,0.999,0.978,0.988,0.924,0.52,0.843,0.323,0.442,0.314
NAS-L,1.0,1.0,0.97,0.698,1.0,0.978,1.0,0.933,1.0,0.848,0.776,0.703,0.608,0.385,1.0,1.0,0.994,0.971,0.905,0.923,0.696,0.084,0.746,0.0,0.043,0.957
NAS,1.0,1.0,0.983,0.752,1.0,0.974,1.0,0.949,1.0,0.79,0.809,0.74,0.66,0.237,1.0,1.0,0.996,0.985,0.94,0.954,0.794,0.091,0.745,0.0,0.0,0.473
"NAS
+LAS(S)",1.0,1.0,0.98,0.656,1.0,0.973,1.0,0.932,1.0,0.785,0.777,0.678,0.61,0.005,1.0,1.0,0.995,0.969,0.896,0.934,0.57,0.0,0.607,0.0,0.0,0.462
"GAS
+LAS(S)",0.994,0.966,0.971,0.914,0.989,0.974,0.977,0.863,0.9,0.928,0.798,0.731,0.874,0.738,0.351,0.891,0.877,0.0,0.275,0.691,0.0,0.0,0.758,0.963,0.954,0.966
"GAS
+NAS-L(S)",0.994,0.967,0.97,0.678,0.99,0.975,0.979,0.89,0.909,0.837,0.729,0.62,0.56,0.23,0.568,0.905,0.897,0.386,0.536,0.77,0.291,0.0,0.699,0.0,0.0,0.955
"GAS
+NAS-D(S)",0.994,0.967,0.975,0.923,0.99,0.975,0.979,0.894,0.909,0.743,0.801,0.732,0.776,0.719,0.568,0.905,0.897,0.403,0.571,0.785,0.466,0.0,0.814,0.297,0.416,0.29
"GAS
+NAS(S)",0.994,0.967,0.974,0.735,0.99,0.974,0.979,0.892,0.909,0.774,0.769,0.668,0.619,0.045,0.568,0.905,0.897,0.395,0.554,0.777,0.379,0.0,0.698,0.0,0.0,0.455
"GAS
+LAS(S)
+NAS-D(S)",0.994,0.966,0.971,0.907,0.989,0.974,0.977,0.86,0.9,0.743,0.767,0.668,0.772,0.662,0.351,0.891,0.877,0.0,0.258,0.687,0.0,0.0,0.713,0.297,0.415,0.29
"GAS
+LAS(S)
+NAS-L(S)",0.994,0.966,0.969,0.67,0.989,0.974,0.977,0.853,0.9,0.837,0.719,0.593,0.552,0.166,0.351,0.891,0.877,0.0,0.198,0.665,0.0,0.0,0.665,0.0,0.0,0.955
"GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)",0.994,0.966,0.971,0.728,0.989,0.974,0.977,0.856,0.9,0.774,0.75,0.637,0.611,0.0,0.351,0.891,0.877,0.0,0.228,0.676,0.0,0.0,0.664,0.0,0.0,0.454
