metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
GAS,0.996,0.966,0.974,0.963,0.971,0.902,0.905,0.972,0.874,0.907,0.818,0.753,0.885,0.732,0.617,0.913,0.981,0.458,0.543,0.88,0.476,0.163,0.891,0.953,0.953,0.945
LAS,0.987,0.939,0.88,0.854,0.823,0.807,0.829,0.847,0.9,0.973,0.849,0.792,0.788,0.637,0.71,0.772,0.931,0.449,0.456,0.685,0.505,0.224,0.643,0.957,0.969,0.952
NAS-D,1.0,1.0,0.971,0.948,0.953,0.953,0.996,0.993,1.0,0.737,0.867,0.816,0.846,0.656,1.0,1.0,1.0,1.0,0.963,1.0,1.0,0.46,0.939,0.323,0.508,0.336
NAS-L,1.0,1.0,0.973,0.868,0.875,0.875,0.972,1.0,1.0,0.84,0.759,0.675,0.618,0.462,1.0,1.0,1.0,1.0,0.898,1.0,1.0,0.107,0.838,0.0,0.0,0.968
NAS,1.0,1.0,0.969,0.896,0.905,0.905,0.983,0.996,1.0,0.771,0.796,0.725,0.683,0.237,1.0,1.0,1.0,1.0,0.929,1.0,1.0,0.121,0.857,0.0,0.0,0.448
"NAS
+LAS(S)",1.0,1.0,0.965,0.878,0.885,0.883,0.979,0.995,1.0,0.765,0.76,0.652,0.597,0.0,1.0,1.0,1.0,1.0,0.845,1.0,1.0,0.0,0.778,0.0,0.0,0.42
"GAS
+LAS(S)",0.996,0.964,0.97,0.956,0.964,0.878,0.886,0.966,0.859,0.904,0.785,0.688,0.854,0.579,0.46,0.887,0.979,0.0,0.0,0.825,0.0,0.0,0.831,0.951,0.952,0.942
"GAS
+NAS-L(S)",0.996,0.966,0.972,0.863,0.871,0.861,0.902,0.972,0.874,0.824,0.705,0.568,0.568,0.265,0.617,0.913,0.981,0.458,0.491,0.88,0.476,0.0,0.819,0.0,0.0,0.943
"GAS
+NAS-D(S)",0.996,0.966,0.97,0.946,0.951,0.897,0.905,0.971,0.874,0.71,0.79,0.697,0.826,0.53,0.617,0.913,0.981,0.458,0.525,0.88,0.476,0.0,0.884,0.289,0.484,0.297
"GAS
+NAS(S)",0.996,0.966,0.968,0.892,0.903,0.892,0.904,0.971,0.874,0.748,0.751,0.634,0.641,0.0,0.617,0.913,0.981,0.458,0.508,0.88,0.476,0.0,0.84,0.0,0.0,0.416
"GAS
+LAS(S)
+NAS-D(S)",0.996,0.964,0.969,0.946,0.951,0.872,0.885,0.966,0.859,0.71,0.752,0.618,0.82,0.358,0.46,0.887,0.979,0.0,0.0,0.825,0.0,0.0,0.82,0.288,0.483,0.295
"GAS
+LAS(S)
+NAS-L(S)",0.996,0.964,0.969,0.862,0.87,0.857,0.882,0.966,0.859,0.823,0.693,0.527,0.553,0.07,0.46,0.887,0.979,0.0,0.0,0.825,0.0,0.0,0.798,0.0,0.0,0.94
"GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)",0.996,0.964,0.968,0.891,0.902,0.866,0.884,0.966,0.859,0.747,0.731,0.569,0.628,0.0,0.46,0.887,0.979,0.0,0.0,0.825,0.0,0.0,0.803,0.0,0.0,0.414
