metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
GAS,0.981,0.986,0.931,0.907,0.94,0.933,0.919,0.856,0.92,0.926,0.758,0.693,0.907,0.741,0.659,0.847,0.869,0.541,0.665,0.866,0.586,0.198,0.873,0.957,0.935,0.946
LAS,0.969,0.974,0.713,0.666,0.887,0.88,0.809,0.633,0.912,0.939,0.849,0.795,0.805,0.575,0.737,0.828,0.834,0.538,0.622,0.787,0.577,0.252,0.648,0.926,0.928,0.939
NAS-D,1.0,1.0,0.915,0.926,0.996,0.996,0.99,0.971,1.0,0.822,0.865,0.825,0.801,0.676,1.0,1.0,1.0,0.994,1.0,1.0,1.0,0.443,0.939,0.327,0.574,0.331
NAS-L,1.0,1.0,0.846,0.943,1.0,1.0,0.973,0.971,1.0,0.712,0.759,0.675,0.623,0.36,1.0,1.0,1.0,0.958,1.0,1.0,1.0,0.14,0.887,0.0,0.049,0.913
NAS,1.0,1.0,0.868,0.921,0.998,0.998,0.98,0.965,1.0,0.751,0.799,0.732,0.674,0.205,1.0,1.0,1.0,0.976,1.0,1.0,1.0,0.163,0.895,0.0,0.015,0.446
"NAS
+LAS(S)",1.0,1.0,0.815,0.881,0.997,0.997,0.975,0.945,1.0,0.735,0.763,0.662,0.595,0.0,1.0,1.0,1.0,0.955,1.0,1.0,1.0,0.0,0.838,0.0,0.0,0.41
"GAS
+LAS(S)",0.981,0.986,0.904,0.86,0.933,0.924,0.899,0.773,0.912,0.922,0.715,0.614,0.885,0.55,0.538,0.816,0.843,0.146,0.461,0.829,0.282,0.0,0.805,0.953,0.93,0.942
"GAS
+NAS-L(S)",0.981,0.986,0.834,0.901,0.94,0.933,0.916,0.852,0.92,0.689,0.682,0.531,0.585,0.137,0.659,0.847,0.869,0.521,0.665,0.866,0.586,0.0,0.857,0.0,0.0,0.908
"GAS
+NAS-D(S)",0.981,0.986,0.908,0.899,0.94,0.932,0.918,0.852,0.92,0.808,0.721,0.628,0.781,0.563,0.659,0.847,0.869,0.538,0.665,0.866,0.586,0.0,0.865,0.296,0.545,0.293
"GAS
+NAS(S)",0.981,0.986,0.858,0.899,0.94,0.933,0.917,0.851,0.92,0.732,0.698,0.581,0.641,0.0,0.659,0.847,0.869,0.529,0.665,0.866,0.586,0.0,0.858,0.0,0.0,0.415
"GAS
+LAS(S)
+NAS-D(S)",0.981,0.986,0.895,0.848,0.932,0.923,0.898,0.766,0.912,0.807,0.671,0.532,0.775,0.334,0.538,0.816,0.843,0.141,0.461,0.829,0.282,0.0,0.792,0.294,0.542,0.29
"GAS
+LAS(S)
+NAS-L(S)",0.981,0.986,0.829,0.851,0.933,0.924,0.897,0.766,0.912,0.687,0.625,0.428,0.574,0.0,0.538,0.816,0.843,0.109,0.461,0.829,0.282,0.0,0.78,0.0,0.0,0.908
"GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)",0.981,0.986,0.854,0.848,0.932,0.923,0.897,0.765,0.912,0.73,0.644,0.472,0.632,0.0,0.538,0.816,0.843,0.125,0.461,0.829,0.282,0.0,0.782,0.0,0.0,0.413
