metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
GAS,0.919,0.991,0.963,0.934,0.966,0.919,0.973,0.922,0.928,0.929,0.83,0.776,0.849,0.731,0.779,0.901,0.942,0.466,0.6,0.81,0.526,0.156,0.85,0.963,0.964,0.954
LAS,0.869,0.982,0.818,0.754,0.841,0.812,0.783,0.704,0.925,0.939,0.775,0.73,0.779,0.634,0.697,0.825,0.819,0.501,0.434,0.678,0.383,0.234,0.649,0.871,0.918,0.941
NAS-D,1.0,1.0,1.0,0.978,0.938,0.939,0.995,0.936,1.0,0.861,0.866,0.842,0.824,0.722,1.0,1.0,1.0,1.0,0.975,1.0,0.975,0.578,0.927,0.316,0.627,0.358
NAS-L,1.0,1.0,0.96,0.912,0.972,0.973,1.0,0.721,1.0,0.594,0.663,0.625,0.591,0.385,1.0,1.0,1.0,1.0,0.933,1.0,0.933,0.183,0.875,0.0,0.073,0.97
NAS,1.0,1.0,0.977,0.935,0.95,0.951,0.997,0.786,1.0,0.681,0.734,0.683,0.64,0.321,1.0,1.0,1.0,1.0,0.954,1.0,0.954,0.182,0.864,0.0,0.014,0.459
"NAS
+LAS(S)",1.0,1.0,0.971,0.914,0.941,0.94,0.997,0.696,1.0,0.66,0.657,0.566,0.538,0.0,1.0,1.0,1.0,1.0,0.894,1.0,0.88,0.0,0.791,0.0,0.0,0.425
"GAS
+LAS(S)",0.906,0.99,0.955,0.912,0.959,0.901,0.966,0.889,0.922,0.924,0.781,0.693,0.806,0.576,0.684,0.88,0.929,0.0,0.079,0.721,0.0,0.0,0.769,0.958,0.961,0.951
"GAS
+NAS-L(S)",0.919,0.991,0.958,0.906,0.965,0.917,0.973,0.697,0.928,0.563,0.594,0.517,0.518,0.159,0.779,0.901,0.942,0.466,0.572,0.81,0.492,0.0,0.829,0.0,0.038,0.953
"GAS
+NAS-D(S)",0.919,0.991,0.963,0.932,0.936,0.914,0.973,0.916,0.928,0.85,0.804,0.734,0.792,0.619,0.779,0.901,0.942,0.466,0.59,0.81,0.514,0.0,0.838,0.29,0.613,0.327
"GAS
+NAS(S)",0.919,0.991,0.962,0.929,0.948,0.915,0.973,0.768,0.928,0.656,0.68,0.591,0.576,0.072,0.779,0.901,0.942,0.466,0.581,0.81,0.503,0.0,0.826,0.0,0.0,0.433
"GAS
+LAS(S)
+NAS-D(S)",0.906,0.99,0.955,0.91,0.936,0.894,0.966,0.881,0.922,0.85,0.747,0.636,0.764,0.413,0.684,0.88,0.929,0.0,0.056,0.721,0.0,0.0,0.751,0.286,0.611,0.325
"GAS
+LAS(S)
+NAS-L(S)",0.906,0.99,0.953,0.903,0.958,0.898,0.966,0.686,0.922,0.56,0.569,0.459,0.492,0.0,0.684,0.88,0.929,0.0,0.014,0.721,0.0,0.0,0.736,0.0,0.035,0.95
"GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)",0.906,0.99,0.954,0.906,0.948,0.896,0.966,0.759,0.922,0.655,0.659,0.543,0.553,0.0,0.684,0.88,0.929,0.0,0.035,0.721,0.0,0.0,0.733,0.0,0.0,0.431
