metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
GAS,0.981,0.98,0.939,0.949,0.914,0.892,0.876,0.903,0.884,0.923,0.72,0.471,0.931,0.792,0.658,0.838,0.98,0.474,0.792,0.772,0.521,0.306,0.855,0.963,0.955,0.965
LAS,0.955,0.946,0.668,0.679,0.741,0.72,0.767,0.599,0.926,0.979,0.854,0.799,0.834,0.652,0.65,0.814,0.898,0.454,0.654,0.687,0.503,0.332,0.559,0.97,0.967,0.965
NAS-D,1.0,1.0,0.926,0.934,0.935,0.924,0.963,0.923,1.0,0.919,0.851,0.803,0.785,0.745,0.996,1.0,1.0,0.975,0.981,0.998,0.94,0.601,0.834,0.337,0.527,0.352
NAS-L,1.0,1.0,0.778,0.698,0.691,0.646,0.822,0.686,1.0,0.677,0.741,0.679,0.636,0.374,0.918,1.0,1.0,0.801,0.891,0.955,0.63,0.156,0.632,0.0,0.063,0.81
NAS,1.0,1.0,0.831,0.779,0.785,0.749,0.882,0.741,1.0,0.773,0.786,0.729,0.689,0.389,0.955,1.0,1.0,0.879,0.934,0.976,0.754,0.213,0.658,0.0,0.072,0.469
"NAS
+LAS(S)",1.0,1.0,0.747,0.675,0.71,0.652,0.846,0.569,1.0,0.768,0.749,0.661,0.627,0.063,0.931,1.0,1.0,0.734,0.899,0.964,0.512,0.0,0.389,0.0,0.041,0.45
"GAS
+LAS(S)",0.981,0.979,0.909,0.924,0.883,0.85,0.838,0.839,0.874,0.921,0.672,0.338,0.917,0.68,0.473,0.801,0.978,0.0,0.682,0.668,0.048,0.0,0.741,0.961,0.954,0.964
"GAS
+NAS-L(S)",0.981,0.98,0.764,0.682,0.662,0.603,0.797,0.653,0.884,0.65,0.623,0.221,0.609,0.209,0.627,0.838,0.98,0.343,0.767,0.761,0.239,0.0,0.569,0.0,0.019,0.803
"GAS
+NAS-D(S)",0.981,0.98,0.921,0.93,0.908,0.883,0.871,0.895,0.884,0.912,0.671,0.342,0.769,0.678,0.656,0.838,0.98,0.46,0.788,0.771,0.491,0.0,0.806,0.312,0.505,0.329
"GAS
+NAS(S)",0.981,0.98,0.82,0.767,0.765,0.719,0.859,0.714,0.884,0.754,0.644,0.275,0.666,0.228,0.641,0.838,0.98,0.402,0.777,0.766,0.365,0.0,0.6,0.0,0.028,0.45
"GAS
+LAS(S)
+NAS-D(S)",0.981,0.979,0.901,0.919,0.875,0.838,0.832,0.825,0.874,0.912,0.615,0.176,0.765,0.571,0.471,0.801,0.978,0.0,0.676,0.667,0.0,0.0,0.689,0.311,0.504,0.328
"GAS
+LAS(S)
+NAS-L(S)",0.981,0.979,0.756,0.673,0.65,0.584,0.788,0.626,0.874,0.65,0.558,0.025,0.603,0.079,0.426,0.801,0.978,0.0,0.643,0.652,0.0,0.0,0.503,0.0,0.018,0.803
"GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)",0.981,0.979,0.814,0.761,0.757,0.705,0.816,0.692,0.874,0.754,0.583,0.093,0.661,0.102,0.448,0.801,0.978,0.0,0.66,0.66,0.0,0.0,0.539,0.0,0.027,0.449
