metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
GAS,0.973,0.971,0.926,0.92,0.981,0.945,0.963,0.935,0.864,0.854,0.793,0.734,0.921,0.786,0.698,0.881,0.94,0.449,0.538,0.874,0.467,0.259,0.866,0.943,0.932,0.932
LAS,0.962,0.977,0.78,0.741,0.972,0.918,0.92,0.765,0.918,0.909,0.785,0.734,0.825,0.702,0.704,0.807,0.872,0.406,0.412,0.743,0.379,0.251,0.623,0.877,0.894,0.915
NAS-D,1.0,1.0,0.964,0.985,1.0,0.996,1.0,0.967,1.0,0.798,0.833,0.792,0.801,0.716,1.0,1.0,1.0,1.0,0.984,1.0,0.945,0.55,0.956,0.337,0.519,0.33
NAS-L,1.0,1.0,0.921,1.0,1.0,0.948,1.0,1.0,1.0,0.815,0.762,0.697,0.654,0.467,1.0,1.0,1.0,1.0,0.913,1.0,0.853,0.13,0.896,0.0,0.088,0.954
NAS,1.0,1.0,0.937,0.992,1.0,0.972,1.0,0.982,1.0,0.797,0.787,0.722,0.694,0.42,1.0,1.0,1.0,1.0,0.947,1.0,0.897,0.161,0.91,0.0,0.09,0.45
"NAS
+LAS(S)",1.0,1.0,0.919,0.989,1.0,0.969,1.0,0.976,1.0,0.777,0.728,0.621,0.63,0.174,1.0,1.0,1.0,1.0,0.871,1.0,0.728,0.0,0.855,0.0,0.0,0.398
"GAS
+LAS(S)",0.972,0.971,0.906,0.892,0.98,0.94,0.96,0.914,0.852,0.84,0.736,0.637,0.904,0.695,0.571,0.853,0.931,0.0,0.0,0.831,0.0,0.0,0.784,0.935,0.925,0.925
"GAS
+NAS-L(S)",0.973,0.971,0.915,0.92,0.981,0.942,0.963,0.935,0.864,0.783,0.699,0.586,0.624,0.321,0.698,0.881,0.94,0.449,0.494,0.874,0.376,0.0,0.85,0.0,0.022,0.929
"GAS
+NAS-D(S)",0.973,0.971,0.923,0.918,0.981,0.944,0.963,0.932,0.864,0.764,0.751,0.664,0.784,0.639,0.698,0.881,0.94,0.449,0.531,0.874,0.436,0.0,0.859,0.297,0.484,0.281
"GAS
+NAS(S)",0.973,0.971,0.921,0.919,0.981,0.943,0.963,0.933,0.864,0.763,0.731,0.621,0.668,0.262,0.698,0.881,0.94,0.449,0.513,0.874,0.406,0.0,0.852,0.0,0.024,0.41
"GAS
+LAS(S)
+NAS-D(S)",0.972,0.971,0.902,0.89,0.98,0.939,0.96,0.912,0.852,0.76,0.683,0.542,0.78,0.574,0.571,0.853,0.931,0.0,0.0,0.831,0.0,0.0,0.774,0.29,0.479,0.276
"GAS
+LAS(S)
+NAS-L(S)",0.972,0.971,0.897,0.892,0.98,0.936,0.96,0.914,0.852,0.779,0.653,0.479,0.617,0.233,0.571,0.853,0.931,0.0,0.0,0.831,0.0,0.0,0.759,0.0,0.014,0.922
"GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)",0.972,0.971,0.899,0.891,0.98,0.938,0.96,0.913,0.852,0.758,0.664,0.497,0.662,0.166,0.571,0.853,0.931,0.0,0.0,0.831,0.0,0.0,0.763,0.0,0.016,0.406
