metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
GAS,0.947,0.955,0.977,0.972,0.974,0.929,0.954,0.97,0.88,0.91,0.705,0.636,0.931,0.785,0.727,0.894,0.957,0.365,0.562,0.856,0.501,0.129,0.804,0.929,0.929,0.924
LAS,0.949,0.95,0.942,0.931,0.937,0.914,0.9,0.891,0.885,0.887,0.776,0.726,0.854,0.692,0.661,0.893,0.815,0.43,0.477,0.735,0.42,0.228,0.613,0.868,0.873,0.868
NAS-D,1.0,1.0,1.0,1.0,0.984,0.984,0.985,0.999,1.0,0.814,0.835,0.79,0.859,0.783,1.0,1.0,1.0,0.99,0.989,1.0,0.951,0.57,0.897,0.319,0.509,0.401
NAS-L,1.0,1.0,1.0,1.0,1.0,1.0,0.972,1.0,1.0,0.794,0.72,0.62,0.652,0.447,1.0,1.0,1.0,0.955,0.955,1.0,0.824,0.118,0.651,0.0,0.096,0.954
NAS,1.0,1.0,1.0,1.0,0.991,0.991,0.976,0.999,1.0,0.787,0.752,0.672,0.715,0.408,1.0,1.0,1.0,0.972,0.972,1.0,0.883,0.145,0.7,0.0,0.108,0.537
"NAS
+LAS(S)",1.0,1.0,1.0,1.0,0.991,0.991,0.974,0.999,1.0,0.76,0.681,0.548,0.667,0.144,1.0,1.0,1.0,0.935,0.94,1.0,0.721,0.0,0.511,0.0,0.0,0.467
"GAS
+LAS(S)",0.945,0.952,0.975,0.97,0.972,0.922,0.949,0.966,0.864,0.899,0.619,0.498,0.919,0.69,0.588,0.881,0.947,0.0,0.081,0.805,0.0,0.0,0.68,0.918,0.919,0.912
"GAS
+NAS-L(S)",0.947,0.955,0.977,0.972,0.974,0.929,0.953,0.97,0.88,0.774,0.59,0.403,0.626,0.296,0.727,0.894,0.957,0.335,0.541,0.856,0.395,0.0,0.565,0.0,0.028,0.92
"GAS
+NAS-D(S)",0.947,0.955,0.977,0.972,0.973,0.928,0.954,0.97,0.88,0.796,0.646,0.539,0.848,0.724,0.727,0.894,0.957,0.359,0.557,0.856,0.476,0.0,0.781,0.266,0.471,0.352
"GAS
+NAS(S)",0.947,0.955,0.977,0.972,0.973,0.928,0.953,0.97,0.88,0.766,0.607,0.458,0.694,0.246,0.727,0.894,0.957,0.347,0.549,0.856,0.435,0.0,0.626,0.0,0.04,0.499
"GAS
+LAS(S)
+NAS-D(S)",0.945,0.952,0.975,0.97,0.971,0.921,0.949,0.966,0.864,0.793,0.544,0.365,0.846,0.604,0.588,0.881,0.947,0.0,0.071,0.805,0.0,0.0,0.644,0.258,0.466,0.344
"GAS
+LAS(S)
+NAS-L(S)",0.945,0.952,0.975,0.97,0.972,0.922,0.948,0.966,0.864,0.771,0.472,0.191,0.621,0.199,0.588,0.881,0.947,0.0,0.037,0.805,0.0,0.0,0.486,0.0,0.017,0.908
"GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)",0.945,0.952,0.975,0.97,0.972,0.921,0.948,0.966,0.864,0.763,0.494,0.253,0.69,0.142,0.588,0.881,0.947,0.0,0.054,0.805,0.0,0.0,0.543,0.0,0.029,0.492
