metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
Precision NAS-D,1.0,1.0,0.99,0.993,1.0,0.996,1.0,0.982,1.0,0.766,0.782,0.734,0.881,0.802,1.0,1.0,1.0,1.0,1.0,1.0,0.941,0.494,0.995,0.33,0.5,0.329
Recall NAS-D,1.0,1.0,0.939,0.976,1.0,0.996,1.0,0.953,1.0,0.834,0.89,0.86,0.734,0.648,1.0,1.0,1.0,1.0,0.968,1.0,0.949,0.62,0.919,0.344,0.538,0.331
NAS-D,1.0,1.0,0.964,0.985,1.0,0.996,1.0,0.967,1.0,0.798,0.833,0.792,0.801,0.716,1.0,1.0,1.0,1.0,0.984,1.0,0.945,0.55,0.956,0.337,0.519,0.33
Precision NAS-L,1.0,1.0,0.92,1.0,1.0,0.948,1.0,1.0,1.0,0.97,0.767,0.728,0.718,0.355,1.0,1.0,1.0,1.0,1.0,1.0,0.828,0.406,0.948,0.161,0.083,0.926
Recall NAS-L,1.0,1.0,0.923,1.0,1.0,0.948,1.0,1.0,1.0,0.702,0.756,0.668,0.6,0.681,1.0,1.0,1.0,1.0,0.84,1.0,0.88,0.077,0.849,0.0,0.094,0.983
NAS-L,1.0,1.0,0.921,1.0,1.0,0.948,1.0,1.0,1.0,0.815,0.762,0.697,0.654,0.467,1.0,1.0,1.0,1.0,0.913,1.0,0.853,0.13,0.896,0.0,0.088,0.954
NAS,1.0,1.0,0.937,0.992,1.0,0.972,1.0,0.982,1.0,0.797,0.787,0.722,0.694,0.42,1.0,1.0,1.0,1.0,0.947,1.0,0.897,0.161,0.91,0.0,0.09,0.45
Precision LAS,0.962,0.977,0.831,0.788,0.972,0.923,0.923,0.818,0.918,0.877,0.67,0.599,0.923,0.993,0.704,0.807,0.872,0.406,0.41,0.743,0.38,0.267,0.695,0.834,0.863,0.9
Recall LAS,0.962,0.977,0.735,0.699,0.972,0.913,0.918,0.718,0.918,0.944,0.947,0.947,0.746,0.543,0.704,0.807,0.872,0.406,0.414,0.743,0.377,0.236,0.564,0.924,0.928,0.93
LAS,0.962,0.977,0.78,0.741,0.972,0.918,0.92,0.765,0.918,0.909,0.785,0.734,0.825,0.702,0.704,0.807,0.872,0.406,0.412,0.743,0.379,0.251,0.623,0.877,0.894,0.915
GAS,0.973,0.971,0.926,0.92,0.981,0.945,0.963,0.935,0.864,0.854,0.793,0.734,0.921,0.786,0.698,0.881,0.94,0.449,0.538,0.874,0.467,0.259,0.866,0.943,0.932,0.932
GAS-LAS-Scaled,0.972,0.971,0.906,0.892,0.98,0.94,0.96,0.914,0.852,0.84,0.736,0.637,0.904,0.695,0.571,0.853,0.931,0.0,0.0,0.831,0.0,0.0,0.784,0.935,0.925,0.925
VCS,0.972,0.971,0.899,0.891,0.98,0.938,0.96,0.913,0.852,0.758,0.664,0.497,0.662,0.166,0.571,0.853,0.931,0.0,0.0,0.831,0.0,0.0,0.763,0.0,0.016,0.406
