metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
Precision NAS-D,1.0,1.0,1.0,1.0,0.935,0.934,0.994,0.949,1.0,0.793,0.825,0.811,0.867,0.779,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63,0.974,0.291,0.622,0.351
Recall NAS-D,1.0,1.0,1.0,0.957,0.942,0.944,0.997,0.924,1.0,0.942,0.912,0.874,0.785,0.672,1.0,1.0,1.0,1.0,0.952,1.0,0.952,0.533,0.885,0.347,0.631,0.364
NAS-D,1.0,1.0,1.0,0.978,0.938,0.939,0.995,0.936,1.0,0.861,0.866,0.842,0.824,0.722,1.0,1.0,1.0,1.0,0.975,1.0,0.975,0.578,0.927,0.316,0.627,0.358
Precision NAS-L,1.0,1.0,0.923,0.922,1.0,1.0,1.0,0.602,1.0,0.545,0.616,0.601,0.683,0.37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.236,0.859,0.203,0.057,0.943
Recall NAS-L,1.0,1.0,1.0,0.903,0.945,0.947,1.0,0.899,1.0,0.652,0.718,0.651,0.521,0.401,1.0,1.0,1.0,1.0,0.875,1.0,0.875,0.15,0.892,0.0,0.099,1.0
NAS-L,1.0,1.0,0.96,0.912,0.972,0.973,1.0,0.721,1.0,0.594,0.663,0.625,0.591,0.385,1.0,1.0,1.0,1.0,0.933,1.0,0.933,0.183,0.875,0.0,0.073,0.97
NAS,1.0,1.0,0.977,0.935,0.95,0.951,0.997,0.786,1.0,0.681,0.734,0.683,0.64,0.321,1.0,1.0,1.0,1.0,0.954,1.0,0.954,0.182,0.864,0.0,0.014,0.459
Precision LAS,0.869,0.982,0.811,0.79,0.81,0.782,0.743,0.751,0.925,0.926,0.658,0.596,0.886,0.794,0.697,0.825,0.819,0.501,0.434,0.678,0.382,0.228,0.731,0.824,0.909,0.928
Recall LAS,0.869,0.982,0.826,0.721,0.875,0.845,0.827,0.662,0.925,0.952,0.944,0.944,0.695,0.528,0.697,0.825,0.819,0.501,0.435,0.678,0.384,0.24,0.584,0.922,0.927,0.954
LAS,0.869,0.982,0.818,0.754,0.841,0.812,0.783,0.704,0.925,0.939,0.775,0.73,0.779,0.634,0.697,0.825,0.819,0.501,0.434,0.678,0.383,0.234,0.649,0.871,0.918,0.941
GAS,0.919,0.991,0.963,0.934,0.966,0.919,0.973,0.922,0.928,0.929,0.83,0.776,0.849,0.731,0.779,0.901,0.942,0.466,0.6,0.81,0.526,0.156,0.85,0.963,0.964,0.954
GAS-LAS-Scaled,0.906,0.99,0.955,0.912,0.959,0.901,0.966,0.889,0.922,0.924,0.781,0.693,0.806,0.576,0.684,0.88,0.929,0.0,0.079,0.721,0.0,0.0,0.769,0.958,0.961,0.951
VCS,0.906,0.99,0.954,0.906,0.948,0.896,0.966,0.759,0.922,0.655,0.659,0.543,0.553,0.0,0.684,0.88,0.929,0.0,0.035,0.721,0.0,0.0,0.733,0.0,0.0,0.431
