metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
Precision NAS-D,1.0,1.0,0.949,0.963,0.923,0.923,0.977,0.964,1.0,0.856,0.81,0.755,0.854,0.777,0.991,1.0,1.0,0.977,0.994,0.995,0.93,0.614,0.908,0.333,0.526,0.36
Recall NAS-D,1.0,1.0,0.904,0.907,0.948,0.926,0.949,0.886,1.0,0.992,0.896,0.859,0.726,0.716,1.0,1.0,1.0,0.972,0.969,1.0,0.951,0.588,0.771,0.342,0.528,0.345
NAS-D,1.0,1.0,0.926,0.934,0.935,0.924,0.963,0.923,1.0,0.919,0.851,0.803,0.785,0.745,0.996,1.0,1.0,0.975,0.981,0.998,0.94,0.601,0.834,0.337,0.527,0.352
Precision NAS-L,1.0,1.0,0.804,0.735,0.726,0.709,0.882,0.676,1.0,0.535,0.748,0.715,0.625,0.29,0.848,1.0,1.0,0.804,0.913,0.913,0.537,0.215,0.815,0.015,0.115,0.804
Recall NAS-L,1.0,1.0,0.754,0.665,0.659,0.593,0.77,0.697,1.0,0.922,0.734,0.646,0.647,0.526,1.0,1.0,1.0,0.798,0.87,1.0,0.761,0.123,0.516,0.0,0.044,0.816
NAS-L,1.0,1.0,0.778,0.698,0.691,0.646,0.822,0.686,1.0,0.677,0.741,0.679,0.636,0.374,0.918,1.0,1.0,0.801,0.891,0.955,0.63,0.156,0.632,0.0,0.063,0.81
NAS,1.0,1.0,0.831,0.779,0.785,0.749,0.882,0.741,1.0,0.773,0.786,0.729,0.689,0.389,0.955,1.0,1.0,0.879,0.934,0.976,0.754,0.213,0.658,0.0,0.072,0.469
Precision LAS,0.955,0.946,0.743,0.748,0.746,0.728,0.798,0.709,0.926,0.974,0.746,0.667,0.999,0.999,0.651,0.814,0.898,0.452,0.654,0.688,0.509,0.355,0.664,0.966,0.973,0.954
Recall LAS,0.955,0.946,0.606,0.621,0.737,0.713,0.739,0.519,0.926,0.983,0.997,0.997,0.715,0.484,0.648,0.814,0.898,0.456,0.653,0.686,0.498,0.312,0.483,0.975,0.961,0.977
LAS,0.955,0.946,0.668,0.679,0.741,0.72,0.767,0.599,0.926,0.979,0.854,0.799,0.834,0.652,0.65,0.814,0.898,0.454,0.654,0.687,0.503,0.332,0.559,0.97,0.967,0.965
GAS,0.981,0.98,0.939,0.949,0.914,0.892,0.876,0.903,0.884,0.923,0.72,0.471,0.931,0.792,0.658,0.838,0.98,0.474,0.792,0.772,0.521,0.306,0.855,0.963,0.955,0.965
GAS-LAS-Scaled,0.981,0.979,0.909,0.924,0.883,0.85,0.838,0.839,0.874,0.921,0.672,0.338,0.917,0.68,0.473,0.801,0.978,0.0,0.682,0.668,0.048,0.0,0.741,0.961,0.954,0.964
VCS,0.981,0.979,0.814,0.761,0.757,0.705,0.816,0.692,0.874,0.754,0.583,0.093,0.661,0.102,0.448,0.801,0.978,0.0,0.66,0.66,0.0,0.0,0.539,0.0,0.027,0.449
