metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
Precision NAS-D,1.0,1.0,1.0,1.0,0.984,0.984,0.984,1.0,1.0,0.781,0.791,0.737,0.889,0.811,1.0,1.0,1.0,0.981,0.979,1.0,0.95,0.587,0.966,0.351,0.467,0.403
Recall NAS-D,1.0,1.0,1.0,1.0,0.984,0.984,0.986,0.997,1.0,0.85,0.883,0.851,0.83,0.757,1.0,1.0,1.0,1.0,1.0,1.0,0.952,0.554,0.838,0.292,0.559,0.4
NAS-D,1.0,1.0,1.0,1.0,0.984,0.984,0.985,0.999,1.0,0.814,0.835,0.79,0.859,0.783,1.0,1.0,1.0,0.99,0.989,1.0,0.951,0.57,0.897,0.319,0.509,0.401
Precision NAS-L,1.0,1.0,1.0,1.0,1.0,1.0,0.945,1.0,1.0,0.955,0.673,0.588,0.747,0.369,1.0,1.0,1.0,0.913,0.913,1.0,0.783,0.198,0.753,0.217,0.101,0.945
Recall NAS-L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68,0.776,0.656,0.579,0.568,1.0,1.0,1.0,1.0,1.0,1.0,0.87,0.084,0.573,0.0,0.091,0.965
NAS-L,1.0,1.0,1.0,1.0,1.0,1.0,0.972,1.0,1.0,0.794,0.72,0.62,0.652,0.447,1.0,1.0,1.0,0.955,0.955,1.0,0.824,0.118,0.651,0.0,0.096,0.954
NAS,1.0,1.0,1.0,1.0,0.991,0.991,0.976,0.999,1.0,0.787,0.752,0.672,0.715,0.408,1.0,1.0,1.0,0.972,0.972,1.0,0.883,0.145,0.7,0.0,0.108,0.537
Precision LAS,0.949,0.95,0.942,0.931,0.929,0.907,0.899,0.916,0.885,0.852,0.662,0.592,0.923,0.919,0.661,0.893,0.815,0.431,0.477,0.735,0.419,0.224,0.672,0.838,0.842,0.823
Recall LAS,0.949,0.95,0.942,0.931,0.946,0.922,0.9,0.867,0.885,0.926,0.939,0.939,0.795,0.555,0.661,0.893,0.815,0.429,0.476,0.735,0.421,0.232,0.564,0.901,0.906,0.919
LAS,0.949,0.95,0.942,0.931,0.937,0.914,0.9,0.891,0.885,0.887,0.776,0.726,0.854,0.692,0.661,0.893,0.815,0.43,0.477,0.735,0.42,0.228,0.613,0.868,0.873,0.868
GAS,0.947,0.955,0.977,0.972,0.974,0.929,0.954,0.97,0.88,0.91,0.705,0.636,0.931,0.785,0.727,0.894,0.957,0.365,0.562,0.856,0.501,0.129,0.804,0.929,0.929,0.924
GAS-LAS-Scaled,0.945,0.952,0.975,0.97,0.972,0.922,0.949,0.966,0.864,0.899,0.619,0.498,0.919,0.69,0.588,0.881,0.947,0.0,0.081,0.805,0.0,0.0,0.68,0.918,0.919,0.912
VCS,0.945,0.952,0.975,0.97,0.972,0.921,0.948,0.966,0.864,0.763,0.494,0.253,0.69,0.142,0.588,0.881,0.947,0.0,0.054,0.805,0.0,0.0,0.543,0.0,0.029,0.492
