metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
Precision NAS-D,1.0,1.0,0.935,0.944,0.995,0.995,0.989,1.0,1.0,0.757,0.839,0.795,0.845,0.814,1.0,1.0,1.0,0.988,1.0,1.0,1.0,0.519,0.964,0.311,0.577,0.326
Recall NAS-D,1.0,1.0,0.895,0.907,0.996,0.996,0.991,0.944,1.0,0.899,0.894,0.857,0.762,0.578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.386,0.914,0.344,0.571,0.337
NAS-D,1.0,1.0,0.915,0.926,0.996,0.996,0.99,0.971,1.0,0.822,0.865,0.825,0.801,0.676,1.0,1.0,1.0,0.994,1.0,1.0,1.0,0.443,0.939,0.327,0.574,0.331
Precision NAS-L,1.0,1.0,0.925,0.975,1.0,1.0,1.0,1.0,1.0,0.623,0.758,0.695,0.646,0.296,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.129,0.878,0.076,0.065,0.903
Recall NAS-L,1.0,1.0,0.778,0.913,1.0,1.0,0.947,0.944,1.0,0.83,0.759,0.656,0.602,0.461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.153,0.897,0.0,0.04,0.924
NAS-L,1.0,1.0,0.846,0.943,1.0,1.0,0.973,0.971,1.0,0.712,0.759,0.675,0.623,0.36,1.0,1.0,1.0,0.958,1.0,1.0,1.0,0.14,0.887,0.0,0.049,0.913
NAS,1.0,1.0,0.868,0.921,0.998,0.998,0.98,0.965,1.0,0.751,0.799,0.732,0.674,0.205,1.0,1.0,1.0,0.976,1.0,1.0,1.0,0.163,0.895,0.0,0.015,0.446
Precision LAS,0.969,0.974,0.778,0.74,0.873,0.866,0.822,0.716,0.907,0.916,0.747,0.667,0.918,0.861,0.737,0.828,0.834,0.539,0.622,0.787,0.577,0.249,0.728,0.905,0.922,0.918
Recall LAS,0.969,0.974,0.658,0.605,0.902,0.894,0.796,0.568,0.917,0.963,0.982,0.982,0.717,0.432,0.737,0.828,0.834,0.537,0.622,0.787,0.577,0.256,0.584,0.949,0.935,0.96
LAS,0.969,0.974,0.713,0.666,0.887,0.88,0.809,0.633,0.912,0.939,0.849,0.795,0.805,0.575,0.737,0.828,0.834,0.538,0.622,0.787,0.577,0.252,0.648,0.926,0.928,0.939
GAS,0.981,0.986,0.931,0.907,0.94,0.933,0.919,0.856,0.92,0.926,0.758,0.693,0.907,0.741,0.659,0.847,0.869,0.541,0.665,0.866,0.586,0.198,0.873,0.957,0.935,0.946
GAS-LAS-Scaled,0.981,0.986,0.904,0.86,0.933,0.924,0.899,0.773,0.912,0.922,0.715,0.614,0.885,0.55,0.538,0.816,0.843,0.146,0.461,0.829,0.282,0.0,0.805,0.953,0.93,0.942
VCS,0.981,0.986,0.854,0.848,0.932,0.923,0.897,0.765,0.912,0.73,0.644,0.472,0.632,0.0,0.538,0.816,0.843,0.125,0.461,0.829,0.282,0.0,0.782,0.0,0.0,0.413
