metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
Precision NAS-D,1.0,1.0,0.98,0.974,0.973,0.881,0.975,0.995,1.0,0.794,0.856,0.805,0.855,0.795,1.0,1.0,1.0,0.88,0.938,0.99,0.984,0.484,0.93,0.33,0.546,0.325
Recall NAS-D,1.0,1.0,0.938,0.934,0.974,0.949,0.974,0.973,1.0,0.847,0.89,0.854,0.726,0.581,1.0,1.0,0.969,0.885,0.92,0.999,0.964,0.563,0.806,0.319,0.564,0.325
NAS-D,1.0,1.0,0.958,0.954,0.973,0.913,0.974,0.984,1.0,0.819,0.873,0.829,0.785,0.672,1.0,1.0,0.984,0.882,0.929,0.994,0.974,0.52,0.863,0.325,0.555,0.325
Precision NAS-L,1.0,1.0,0.881,0.825,0.919,0.759,1.0,1.0,1.0,0.973,0.701,0.622,0.64,0.339,1.0,1.0,1.0,0.388,0.734,0.887,0.906,0.216,0.786,0.041,0.03,0.969
Recall NAS-L,1.0,1.0,0.893,0.799,0.96,0.749,0.878,0.937,1.0,0.659,0.747,0.658,0.712,0.668,1.0,1.0,0.938,0.241,0.617,0.968,0.875,0.266,0.478,0.0,0.13,0.969
NAS-L,1.0,1.0,0.887,0.812,0.939,0.754,0.935,0.967,1.0,0.785,0.723,0.64,0.674,0.45,1.0,1.0,0.968,0.297,0.671,0.926,0.89,0.238,0.594,0.0,0.049,0.969
NAS,1.0,1.0,0.916,0.869,0.956,0.817,0.951,0.972,1.0,0.794,0.783,0.713,0.706,0.378,1.0,1.0,0.976,0.445,0.764,0.956,0.93,0.285,0.633,0.0,0.031,0.487
Precision LAS,0.957,0.96,0.828,0.775,0.911,0.738,0.847,0.783,0.915,0.954,0.723,0.655,0.962,0.992,0.693,0.882,0.915,0.359,0.439,0.663,0.506,0.231,0.685,0.928,0.93,0.974
Recall LAS,0.957,0.96,0.767,0.67,0.908,0.858,0.838,0.665,0.932,0.97,0.977,0.977,0.737,0.561,0.693,0.882,0.917,0.37,0.456,0.667,0.507,0.216,0.543,0.957,0.951,0.974
LAS,0.957,0.96,0.796,0.719,0.909,0.794,0.842,0.719,0.924,0.962,0.831,0.784,0.835,0.717,0.693,0.882,0.916,0.364,0.448,0.665,0.506,0.223,0.606,0.942,0.94,0.974
GAS,0.969,0.988,0.963,0.93,0.972,0.942,0.953,0.956,0.927,0.921,0.826,0.739,0.916,0.793,0.635,0.892,0.99,0.447,0.495,0.833,0.542,0.135,0.878,0.949,0.957,0.955
GAS-LAS-Scaled,0.967,0.988,0.954,0.903,0.97,0.927,0.944,0.939,0.921,0.918,0.791,0.667,0.899,0.711,0.474,0.877,0.989,0.0,0.0,0.749,0.096,0.0,0.798,0.946,0.954,0.954
VCS,0.967,0.988,0.912,0.855,0.954,0.803,0.941,0.937,0.921,0.775,0.725,0.533,0.673,0.126,0.474,0.877,0.976,0.0,0.0,0.737,0.028,0.0,0.54,0.0,0.0,0.462
