metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
Precision NAS-D,1.0,1.0,1.0,0.942,0.846,0.838,0.944,0.874,1.0,0.74,0.737,0.684,0.854,0.805,1.0,1.0,1.0,0.931,1.0,1.0,0.966,0.43,0.886,0.359,0.482,0.344
Recall NAS-D,1.0,1.0,1.0,0.937,0.976,0.973,0.952,0.87,1.0,0.886,0.896,0.866,0.714,0.634,1.0,1.0,1.0,0.991,1.0,1.0,1.0,0.389,0.798,0.313,0.537,0.364
NAS-D,1.0,1.0,1.0,0.939,0.906,0.901,0.948,0.872,1.0,0.806,0.809,0.764,0.778,0.709,1.0,1.0,1.0,0.96,1.0,1.0,0.983,0.409,0.84,0.335,0.508,0.354
Precision NAS-L,1.0,1.0,1.0,0.783,0.787,0.782,0.953,0.823,1.0,0.972,0.852,0.855,0.681,0.352,1.0,1.0,1.0,0.806,1.0,1.0,0.9,0.379,1.0,0.235,0.204,0.959
Recall NAS-L,1.0,1.0,1.0,1.0,0.958,0.957,0.952,0.903,1.0,0.75,0.716,0.637,0.508,0.502,1.0,1.0,1.0,0.885,1.0,1.0,1.0,0.154,0.738,0.0,0.169,0.981
NAS-L,1.0,1.0,1.0,0.878,0.864,0.861,0.953,0.861,1.0,0.847,0.778,0.73,0.582,0.414,1.0,1.0,1.0,0.844,1.0,1.0,0.947,0.219,0.849,0.0,0.185,0.97
NAS,1.0,1.0,1.0,0.897,0.878,0.873,0.947,0.851,1.0,0.816,0.782,0.723,0.626,0.302,1.0,1.0,1.0,0.898,1.0,1.0,0.965,0.241,0.803,0.0,0.217,0.476
Precision LAS,0.964,0.972,0.883,0.748,0.723,0.715,0.759,0.704,0.908,0.852,0.683,0.62,0.831,0.878,0.711,0.838,0.93,0.423,0.684,0.753,0.454,0.304,0.624,0.793,0.79,0.852
Recall LAS,0.964,0.972,0.864,0.698,0.87,0.864,0.827,0.647,0.896,0.928,0.941,0.941,0.626,0.486,0.711,0.838,0.93,0.424,0.684,0.753,0.453,0.302,0.508,0.9,0.884,0.917
LAS,0.964,0.972,0.873,0.722,0.79,0.782,0.792,0.674,0.902,0.889,0.791,0.747,0.714,0.626,0.711,0.838,0.93,0.423,0.684,0.753,0.454,0.303,0.56,0.843,0.834,0.883
GAS,0.989,0.984,0.963,0.927,0.927,0.894,0.89,0.888,0.837,0.889,0.721,0.653,0.847,0.735,0.612,0.87,0.971,0.478,0.666,0.852,0.484,0.303,0.775,0.941,0.944,0.932
GAS-LAS-Scaled,0.989,0.984,0.958,0.899,0.908,0.865,0.861,0.835,0.82,0.875,0.648,0.535,0.786,0.577,0.454,0.845,0.969,0.0,0.511,0.804,0.0,0.0,0.598,0.93,0.933,0.923
VCS,0.989,0.984,0.958,0.885,0.865,0.846,0.854,0.806,0.82,0.79,0.55,0.357,0.525,0.0,0.454,0.845,0.969,0.0,0.511,0.804,0.0,0.0,0.5,0.0,0.161,0.433
