metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
Precision NAS-D,1.0,1.0,1.0,0.973,0.886,0.883,0.988,0.994,1.0,0.663,0.847,0.791,0.852,0.786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.607,0.92,0.398,0.472,0.418
Recall NAS-D,1.0,1.0,1.0,0.953,0.971,0.965,0.992,0.981,1.0,0.858,0.902,0.866,0.852,0.526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.575,0.873,0.31,0.436,0.392
NAS-D,1.0,1.0,1.0,0.963,0.927,0.922,0.99,0.988,1.0,0.748,0.873,0.827,0.852,0.63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.59,0.896,0.349,0.453,0.405
Precision NAS-L,1.0,1.0,1.0,0.925,0.81,0.804,1.0,0.927,1.0,0.879,0.725,0.687,0.612,0.327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.305,0.881,0.25,0.254,0.792
Recall NAS-L,1.0,1.0,1.0,1.0,0.826,0.821,1.0,0.89,1.0,0.744,0.761,0.635,0.678,0.634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.119,0.888,0.0,0.092,0.948
NAS-L,1.0,1.0,1.0,0.961,0.818,0.813,1.0,0.908,1.0,0.806,0.742,0.66,0.644,0.431,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.171,0.885,0.0,0.136,0.863
NAS,1.0,1.0,1.0,0.957,0.859,0.854,0.994,0.939,1.0,0.748,0.777,0.707,0.695,0.219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.219,0.875,0.0,0.143,0.506
Precision LAS,0.951,0.959,0.973,0.781,0.695,0.692,0.865,0.813,0.917,0.796,0.646,0.577,0.843,0.858,0.636,0.917,0.856,0.659,0.584,0.823,0.593,0.258,0.762,0.739,0.755,0.82
Recall LAS,0.971,0.959,0.973,0.719,0.904,0.897,0.892,0.764,0.934,0.914,0.925,0.925,0.751,0.504,0.636,0.917,0.871,0.659,0.586,0.823,0.593,0.282,0.706,0.897,0.889,0.905
LAS,0.961,0.959,0.973,0.749,0.786,0.781,0.878,0.788,0.926,0.851,0.761,0.71,0.794,0.635,0.636,0.917,0.864,0.659,0.585,0.823,0.593,0.27,0.733,0.81,0.816,0.86
GAS,0.989,0.991,0.987,0.912,0.966,0.947,0.967,0.94,0.895,0.878,0.81,0.766,0.898,0.759,0.598,0.962,0.953,0.642,0.609,0.941,0.561,0.221,0.896,0.944,0.946,0.949
GAS-LAS-Scaled,0.989,0.991,0.986,0.883,0.957,0.932,0.962,0.924,0.886,0.857,0.75,0.67,0.872,0.621,0.368,0.958,0.946,0.457,0.331,0.929,0.259,0.0,0.858,0.93,0.934,0.941
VCS,0.989,0.991,0.986,0.878,0.853,0.843,0.962,0.919,0.886,0.705,0.678,0.533,0.65,0.0,0.368,0.958,0.946,0.457,0.331,0.929,0.259,0.0,0.838,0.0,0.082,0.475
