metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
Precision NAS-D,1.0,1.0,0.971,0.946,0.918,0.918,0.995,0.993,1.0,0.672,0.831,0.774,0.866,0.812,1.0,1.0,1.0,1.0,0.952,1.0,1.0,0.495,0.992,0.307,0.497,0.334
Recall NAS-D,1.0,1.0,0.971,0.95,0.99,0.99,0.998,0.993,1.0,0.817,0.905,0.863,0.828,0.551,1.0,1.0,1.0,1.0,0.974,1.0,1.0,0.43,0.892,0.34,0.52,0.337
NAS-D,1.0,1.0,0.971,0.948,0.953,0.953,0.996,0.993,1.0,0.737,0.867,0.816,0.846,0.656,1.0,1.0,1.0,1.0,0.963,1.0,1.0,0.46,0.939,0.323,0.508,0.336
Precision NAS-L,1.0,1.0,0.947,0.826,0.875,0.875,0.946,1.0,1.0,0.952,0.75,0.683,0.62,0.312,1.0,1.0,1.0,1.0,0.905,1.0,1.0,0.179,0.892,0.063,0.0,0.955
Recall NAS-L,1.0,1.0,1.0,0.914,0.874,0.874,1.0,1.0,1.0,0.751,0.768,0.667,0.615,0.893,1.0,1.0,1.0,1.0,0.891,1.0,1.0,0.076,0.791,0.0,0.0,0.98
NAS-L,1.0,1.0,0.973,0.868,0.875,0.875,0.972,1.0,1.0,0.84,0.759,0.675,0.618,0.462,1.0,1.0,1.0,1.0,0.898,1.0,1.0,0.107,0.838,0.0,0.0,0.968
NAS,1.0,1.0,0.969,0.896,0.905,0.905,0.983,0.996,1.0,0.771,0.796,0.725,0.683,0.237,1.0,1.0,1.0,1.0,0.929,1.0,1.0,0.121,0.857,0.0,0.0,0.448
Precision LAS,0.987,0.939,0.895,0.884,0.766,0.751,0.816,0.867,0.9,0.97,0.745,0.66,0.955,0.997,0.71,0.772,0.931,0.449,0.456,0.685,0.505,0.216,0.731,0.945,0.962,0.935
Recall LAS,0.987,0.939,0.866,0.826,0.888,0.871,0.843,0.828,0.9,0.976,0.988,0.988,0.67,0.468,0.71,0.772,0.931,0.449,0.456,0.685,0.505,0.232,0.574,0.97,0.976,0.969
LAS,0.987,0.939,0.88,0.854,0.823,0.807,0.829,0.847,0.9,0.973,0.849,0.792,0.788,0.637,0.71,0.772,0.931,0.449,0.456,0.685,0.505,0.224,0.643,0.957,0.969,0.952
GAS,0.996,0.966,0.974,0.963,0.971,0.902,0.905,0.972,0.874,0.907,0.818,0.753,0.885,0.732,0.617,0.913,0.981,0.458,0.543,0.88,0.476,0.163,0.891,0.953,0.953,0.945
GAS-LAS-Scaled,0.996,0.964,0.97,0.956,0.964,0.878,0.886,0.966,0.859,0.904,0.785,0.688,0.854,0.579,0.46,0.887,0.979,0.0,0.0,0.825,0.0,0.0,0.831,0.951,0.952,0.942
VCS,0.996,0.964,0.968,0.891,0.902,0.866,0.884,0.966,0.859,0.747,0.731,0.569,0.628,0.0,0.46,0.887,0.979,0.0,0.0,0.825,0.0,0.0,0.803,0.0,0.0,0.414
