metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
Precision NAS-D,1.0,1.0,1.0,0.982,1.0,0.975,1.0,0.977,1.0,0.697,0.838,0.762,0.853,0.818,1.0,1.0,1.0,1.0,1.0,1.0,0.936,0.579,0.912,0.327,0.441,0.314
Recall NAS-D,1.0,1.0,0.997,0.879,1.0,0.975,1.0,0.973,1.0,0.838,0.904,0.866,0.755,0.737,1.0,1.0,0.998,0.998,0.957,0.976,0.912,0.473,0.784,0.318,0.443,0.314
NAS-D,1.0,1.0,0.999,0.927,1.0,0.975,1.0,0.975,1.0,0.761,0.87,0.811,0.801,0.775,1.0,1.0,0.999,0.999,0.978,0.988,0.924,0.52,0.843,0.323,0.442,0.314
Precision NAS-L,1.0,1.0,1.0,0.879,1.0,1.0,1.0,0.875,1.0,0.954,0.789,0.74,0.595,0.273,1.0,1.0,1.0,1.0,1.0,1.0,0.739,0.288,1.0,0.0,0.042,0.957
Recall NAS-L,1.0,1.0,0.942,0.579,1.0,0.957,1.0,1.0,1.0,0.764,0.764,0.669,0.622,0.652,1.0,1.0,0.987,0.944,0.826,0.857,0.657,0.049,0.595,0.031,0.044,0.957
NAS-L,1.0,1.0,0.97,0.698,1.0,0.978,1.0,0.933,1.0,0.848,0.776,0.703,0.608,0.385,1.0,1.0,0.994,0.971,0.905,0.923,0.696,0.084,0.746,0.0,0.043,0.957
NAS,1.0,1.0,0.983,0.752,1.0,0.974,1.0,0.949,1.0,0.79,0.809,0.74,0.66,0.237,1.0,1.0,0.996,0.985,0.94,0.954,0.794,0.091,0.745,0.0,0.0,0.473
Precision LAS,0.979,0.958,0.887,0.754,0.965,0.925,0.9,0.78,0.912,0.979,0.754,0.679,0.995,0.996,0.666,0.877,0.835,0.495,0.577,0.687,0.474,0.272,0.66,0.976,0.959,0.979
Recall LAS,0.979,0.958,0.882,0.693,0.98,0.952,0.908,0.727,0.912,0.979,0.993,0.993,0.775,0.623,0.666,0.877,0.837,0.497,0.579,0.69,0.484,0.277,0.635,0.967,0.979,0.979
LAS,0.979,0.958,0.885,0.722,0.973,0.938,0.904,0.753,0.912,0.979,0.857,0.807,0.871,0.767,0.666,0.877,0.836,0.496,0.578,0.688,0.479,0.274,0.647,0.972,0.969,0.979
GAS,0.994,0.967,0.975,0.938,0.99,0.976,0.979,0.897,0.909,0.93,0.827,0.783,0.89,0.799,0.568,0.905,0.898,0.404,0.58,0.787,0.507,0.172,0.843,0.964,0.955,0.966
GAS-LAS-Scaled,0.994,0.966,0.971,0.914,0.989,0.974,0.977,0.863,0.9,0.928,0.798,0.731,0.874,0.738,0.351,0.891,0.877,0.0,0.275,0.691,0.0,0.0,0.758,0.963,0.954,0.966
VCS,0.994,0.966,0.971,0.728,0.989,0.974,0.977,0.856,0.9,0.774,0.75,0.637,0.611,0.0,0.351,0.891,0.877,0.0,0.228,0.676,0.0,0.0,0.664,0.0,0.0,0.454
